"time_key","date","month","quarter","year"
20140127,"2014-01-27",1,1,2014
20140128,"2014-01-28",1,1,2014
20140129,"2014-01-29",1,1,2014
20140130,"2014-01-30",1,1,2014
20140131,"2014-01-31",1,1,2014
20140201,"2014-02-01",2,1,2014
20140203,"2014-02-03",2,1,2014
20140204,"2014-02-04",2,1,2014
20140205,"2014-02-05",2,1,2014
20140206,"2014-02-06",2,1,2014
20140207,"2014-02-07",2,1,2014
20140208,"2014-02-08",2,1,2014
20140210,"2014-02-10",2,1,2014
20140211,"2014-02-11",2,1,2014
20140212,"2014-02-12",2,1,2014
20140213,"2014-02-13",2,1,2014
20140214,"2014-02-14",2,1,2014
20140215,"2014-02-15",2,1,2014
20140217,"2014-02-17",2,1,2014
20140218,"2014-02-18",2,1,2014
20140219,"2014-02-19",2,1,2014
20140220,"2014-02-20",2,1,2014
20140221,"2014-02-21",2,1,2014
20140222,"2014-02-22",2,1,2014
20140224,"2014-02-24",2,1,2014
20140225,"2014-02-25",2,1,2014
20140226,"2014-02-26",2,1,2014
20140227,"2014-02-27",2,1,2014
20140228,"2014-02-28",2,1,2014
20140301,"2014-03-01",3,1,2014
20140303,"2014-03-03",3,1,2014
20140304,"2014-03-04",3,1,2014
20140305,"2014-03-05",3,1,2014
20140306,"2014-03-06",3,1,2014
20140307,"2014-03-07",3,1,2014
20140308,"2014-03-08",3,1,2014
20140310,"2014-03-10",3,1,2014
20140311,"2014-03-11",3,1,2014
20140312,"2014-03-12",3,1,2014
20140313,"2014-03-13",3,1,2014
20140314,"2014-03-14",3,1,2014
20140315,"2014-03-15",3,1,2014
20140317,"2014-03-17",3,1,2014
20140318,"2014-03-18",3,1,2014
20140319,"2014-03-19",3,1,2014
20140320,"2014-03-20",3,1,2014
20140321,"2014-03-21",3,1,2014
20140322,"2014-03-22",3,1,2014
20140324,"2014-03-24",3,1,2014
20140325,"2014-03-25",3,1,2014
20140326,"2014-03-26",3,1,2014
20140327,"2014-03-27",3,1,2014
20140328,"2014-03-28",3,1,2014
20140329,"2014-03-29",3,1,2014
20140331,"2014-03-31",3,1,2014
20140401,"2014-04-01",4,2,2014
20140402,"2014-04-02",4,2,2014
20140403,"2014-04-03",4,2,2014
20140404,"2014-04-04",4,2,2014
20140405,"2014-04-05",4,2,2014
20140407,"2014-04-07",4,2,2014
20140408,"2014-04-08",4,2,2014
20140409,"2014-04-09",4,2,2014
20140410,"2014-04-10",4,2,2014
20140411,"2014-04-11",4,2,2014
20140412,"2014-04-12",4,2,2014
20140414,"2014-04-14",4,2,2014
20140415,"2014-04-15",4,2,2014
20140416,"2014-04-16",4,2,2014
20140417,"2014-04-17",4,2,2014
20140418,"2014-04-18",4,2,2014
20140419,"2014-04-19",4,2,2014
20140421,"2014-04-21",4,2,2014
20140422,"2014-04-22",4,2,2014
20140423,"2014-04-23",4,2,2014
20140424,"2014-04-24",4,2,2014
20140425,"2014-04-25",4,2,2014
20140426,"2014-04-26",4,2,2014
20140428,"2014-04-28",4,2,2014
20140429,"2014-04-29",4,2,2014
20140430,"2014-04-30",4,2,2014
20140501,"2014-05-01",5,2,2014
20140502,"2014-05-02",5,2,2014
20140503,"2014-05-03",5,2,2014
20140505,"2014-05-05",5,2,2014
20140506,"2014-05-06",5,2,2014
20140507,"2014-05-07",5,2,2014
20140508,"2014-05-08",5,2,2014
20140509,"2014-05-09",5,2,2014
20140510,"2014-05-10",5,2,2014
20140512,"2014-05-12",5,2,2014
20140513,"2014-05-13",5,2,2014
20140514,"2014-05-14",5,2,2014
20140515,"2014-05-15",5,2,2014
20140516,"2014-05-16",5,2,2014
20140517,"2014-05-17",5,2,2014
20140519,"2014-05-19",5,2,2014
20140520,"2014-05-20",5,2,2014
20140521,"2014-05-21",5,2,2014
20140522,"2014-05-22",5,2,2014
20140523,"2014-05-23",5,2,2014
20140524,"2014-05-24",5,2,2014
20140526,"2014-05-26",5,2,2014
20140527,"2014-05-27",5,2,2014
20140528,"2014-05-28",5,2,2014
20140529,"2014-05-29",5,2,2014
20140530,"2014-05-30",5,2,2014
20140531,"2014-05-31",5,2,2014
20140602,"2014-06-02",6,2,2014
20140603,"2014-06-03",6,2,2014
20140604,"2014-06-04",6,2,2014
20140605,"2014-06-05",6,2,2014
20140606,"2014-06-06",6,2,2014
20140607,"2014-06-07",6,2,2014
20140609,"2014-06-09",6,2,2014
20140610,"2014-06-10",6,2,2014
20140611,"2014-06-11",6,2,2014
20140612,"2014-06-12",6,2,2014
20140613,"2014-06-13",6,2,2014
20140614,"2014-06-14",6,2,2014
20140616,"2014-06-16",6,2,2014
20140617,"2014-06-17",6,2,2014
20140618,"2014-06-18",6,2,2014
20140619,"2014-06-19",6,2,2014
20140620,"2014-06-20",6,2,2014
20140621,"2014-06-21",6,2,2014
20140623,"2014-06-23",6,2,2014
20140624,"2014-06-24",6,2,2014
20140625,"2014-06-25",6,2,2014
20140626,"2014-06-26",6,2,2014
20140627,"2014-06-27",6,2,2014
20140628,"2014-06-28",6,2,2014
20140630,"2014-06-30",6,2,2014
20140701,"2014-07-01",7,3,2014
20140702,"2014-07-02",7,3,2014
20140703,"2014-07-03",7,3,2014
20140704,"2014-07-04",7,3,2014
20140705,"2014-07-05",7,3,2014
20140707,"2014-07-07",7,3,2014
20140708,"2014-07-08",7,3,2014
20140709,"2014-07-09",7,3,2014
20140710,"2014-07-10",7,3,2014
20140711,"2014-07-11",7,3,2014
20140712,"2014-07-12",7,3,2014
20140714,"2014-07-14",7,3,2014
20140715,"2014-07-15",7,3,2014
20140716,"2014-07-16",7,3,2014
20140717,"2014-07-17",7,3,2014
20140718,"2014-07-18",7,3,2014
20140719,"2014-07-19",7,3,2014
20140721,"2014-07-21",7,3,2014
20140722,"2014-07-22",7,3,2014
20140723,"2014-07-23",7,3,2014
20140724,"2014-07-24",7,3,2014
20140725,"2014-07-25",7,3,2014
20140726,"2014-07-26",7,3,2014
20140728,"2014-07-28",7,3,2014
20140729,"2014-07-29",7,3,2014
20140730,"2014-07-30",7,3,2014
20140731,"2014-07-31",7,3,2014
20140801,"2014-08-01",8,3,2014
20140802,"2014-08-02",8,3,2014
20140804,"2014-08-04",8,3,2014
20140805,"2014-08-05",8,3,2014
20140806,"2014-08-06",8,3,2014
20140807,"2014-08-07",8,3,2014
20140808,"2014-08-08",8,3,2014
20140809,"2014-08-09",8,3,2014
20140811,"2014-08-11",8,3,2014
20140812,"2014-08-12",8,3,2014
20140813,"2014-08-13",8,3,2014
20140814,"2014-08-14",8,3,2014
20140815,"2014-08-15",8,3,2014
20140816,"2014-08-16",8,3,2014
20140818,"2014-08-18",8,3,2014
20140819,"2014-08-19",8,3,2014
20140820,"2014-08-20",8,3,2014
20140821,"2014-08-21",8,3,2014
20140822,"2014-08-22",8,3,2014
20140823,"2014-08-23",8,3,2014
20140825,"2014-08-25",8,3,2014
20140826,"2014-08-26",8,3,2014
20140827,"2014-08-27",8,3,2014
20140828,"2014-08-28",8,3,2014
20140829,"2014-08-29",8,3,2014
20140830,"2014-08-30",8,3,2014
20140901,"2014-09-01",9,3,2014
20140902,"2014-09-02",9,3,2014
20140903,"2014-09-03",9,3,2014
20140904,"2014-09-04",9,3,2014
20140905,"2014-09-05",9,3,2014
20140906,"2014-09-06",9,3,2014
20140908,"2014-09-08",9,3,2014
20140909,"2014-09-09",9,3,2014
20140910,"2014-09-10",9,3,2014
20140911,"2014-09-11",9,3,2014
20140912,"2014-09-12",9,3,2014
20140913,"2014-09-13",9,3,2014
20140915,"2014-09-15",9,3,2014
20140916,"2014-09-16",9,3,2014
20140917,"2014-09-17",9,3,2014
20140918,"2014-09-18",9,3,2014
20140919,"2014-09-19",9,3,2014
20140920,"2014-09-20",9,3,2014
20140922,"2014-09-22",9,3,2014
20140923,"2014-09-23",9,3,2014
20140924,"2014-09-24",9,3,2014
20140925,"2014-09-25",9,3,2014
20140926,"2014-09-26",9,3,2014
20140927,"2014-09-27",9,3,2014
20140929,"2014-09-29",9,3,2014
20140930,"2014-09-30",9,3,2014
20141001,"2014-10-01",10,4,2014
20141002,"2014-10-02",10,4,2014
20141003,"2014-10-03",10,4,2014
20141004,"2014-10-04",10,4,2014
20141006,"2014-10-06",10,4,2014
20141007,"2014-10-07",10,4,2014
20141008,"2014-10-08",10,4,2014
20141009,"2014-10-09",10,4,2014
20141010,"2014-10-10",10,4,2014
20141011,"2014-10-11",10,4,2014
20141013,"2014-10-13",10,4,2014
20141014,"2014-10-14",10,4,2014
20141015,"2014-10-15",10,4,2014
20141016,"2014-10-16",10,4,2014
20141017,"2014-10-17",10,4,2014
20141018,"2014-10-18",10,4,2014
20141020,"2014-10-20",10,4,2014
20141021,"2014-10-21",10,4,2014
20141022,"2014-10-22",10,4,2014
20141023,"2014-10-23",10,4,2014
20141024,"2014-10-24",10,4,2014
20141025,"2014-10-25",10,4,2014
20141027,"2014-10-27",10,4,2014
20141028,"2014-10-28",10,4,2014
20141029,"2014-10-29",10,4,2014
20141030,"2014-10-30",10,4,2014
20141031,"2014-10-31",10,4,2014
20141101,"2014-11-01",11,4,2014
20141103,"2014-11-03",11,4,2014
20141104,"2014-11-04",11,4,2014
20141105,"2014-11-05",11,4,2014
20141106,"2014-11-06",11,4,2014
20141107,"2014-11-07",11,4,2014
20141108,"2014-11-08",11,4,2014
20141110,"2014-11-10",11,4,2014
20141111,"2014-11-11",11,4,2014
20141112,"2014-11-12",11,4,2014
20141113,"2014-11-13",11,4,2014
20141114,"2014-11-14",11,4,2014
20141115,"2014-11-15",11,4,2014
20141117,"2014-11-17",11,4,2014
20141118,"2014-11-18",11,4,2014
20141119,"2014-11-19",11,4,2014
20141120,"2014-11-20",11,4,2014
20141121,"2014-11-21",11,4,2014
20141122,"2014-11-22",11,4,2014
20141124,"2014-11-24",11,4,2014
20141125,"2014-11-25",11,4,2014
20141126,"2014-11-26",11,4,2014
20141127,"2014-11-27",11,4,2014
20141128,"2014-11-28",11,4,2014
20141129,"2014-11-29",11,4,2014
20141201,"2014-12-01",12,4,2014
20141202,"2014-12-02",12,4,2014
20141203,"2014-12-03",12,4,2014
20141204,"2014-12-04",12,4,2014
20141205,"2014-12-05",12,4,2014
20141206,"2014-12-06",12,4,2014
20141208,"2014-12-08",12,4,2014
20141209,"2014-12-09",12,4,2014
20141210,"2014-12-10",12,4,2014
20141211,"2014-12-11",12,4,2014
20141212,"2014-12-12",12,4,2014
20141213,"2014-12-13",12,4,2014
20141215,"2014-12-15",12,4,2014
20141216,"2014-12-16",12,4,2014
20141217,"2014-12-17",12,4,2014
20141218,"2014-12-18",12,4,2014
20141219,"2014-12-19",12,4,2014
20141220,"2014-12-20",12,4,2014
20141222,"2014-12-22",12,4,2014
20141223,"2014-12-23",12,4,2014
20141224,"2014-12-24",12,4,2014
20141225,"2014-12-25",12,4,2014
20141226,"2014-12-26",12,4,2014
20141227,"2014-12-27",12,4,2014
20141229,"2014-12-29",12,4,2014
20141230,"2014-12-30",12,4,2014
20141231,"2014-12-31",12,4,2014
20150101,"2015-01-01",1,1,2015
20150102,"2015-01-02",1,1,2015
20150103,"2015-01-03",1,1,2015
20150105,"2015-01-05",1,1,2015
20150106,"2015-01-06",1,1,2015
20150107,"2015-01-07",1,1,2015
20150108,"2015-01-08",1,1,2015
20150109,"2015-01-09",1,1,2015
20150110,"2015-01-10",1,1,2015
20150112,"2015-01-12",1,1,2015
20150113,"2015-01-13",1,1,2015
20150114,"2015-01-14",1,1,2015
20150115,"2015-01-15",1,1,2015
20150116,"2015-01-16",1,1,2015
20150117,"2015-01-17",1,1,2015
20150119,"2015-01-19",1,1,2015
20150120,"2015-01-20",1,1,2015
20150121,"2015-01-21",1,1,2015
20150122,"2015-01-22",1,1,2015
20150123,"2015-01-23",1,1,2015
20150124,"2015-01-24",1,1,2015
20150126,"2015-01-26",1,1,2015
20150127,"2015-01-27",1,1,2015
20150128,"2015-01-28",1,1,2015
20150129,"2015-01-29",1,1,2015
20150130,"2015-01-30",1,1,2015
20150131,"2015-01-31",1,1,2015
20150202,"2015-02-02",2,1,2015
20150203,"2015-02-03",2,1,2015
20150204,"2015-02-04",2,1,2015
20150205,"2015-02-05",2,1,2015
20150206,"2015-02-06",2,1,2015
20150207,"2015-02-07",2,1,2015
20150209,"2015-02-09",2,1,2015
20150210,"2015-02-10",2,1,2015
20150211,"2015-02-11",2,1,2015
20150212,"2015-02-12",2,1,2015
20150213,"2015-02-13",2,1,2015
20150214,"2015-02-14",2,1,2015
20150216,"2015-02-16",2,1,2015
20150217,"2015-02-17",2,1,2015
20150218,"2015-02-18",2,1,2015
20150219,"2015-02-19",2,1,2015
20150220,"2015-02-20",2,1,2015
20150221,"2015-02-21",2,1,2015
20150223,"2015-02-23",2,1,2015
20150224,"2015-02-24",2,1,2015
20150225,"2015-02-25",2,1,2015
20150226,"2015-02-26",2,1,2015
20150227,"2015-02-27",2,1,2015
20150228,"2015-02-28",2,1,2015
20150302,"2015-03-02",3,1,2015
20150303,"2015-03-03",3,1,2015
20150304,"2015-03-04",3,1,2015
20150305,"2015-03-05",3,1,2015
20150306,"2015-03-06",3,1,2015
20150307,"2015-03-07",3,1,2015
20150309,"2015-03-09",3,1,2015
20150310,"2015-03-10",3,1,2015
20150311,"2015-03-11",3,1,2015
20150312,"2015-03-12",3,1,2015
20150313,"2015-03-13",3,1,2015
20150314,"2015-03-14",3,1,2015
20150316,"2015-03-16",3,1,2015
20150317,"2015-03-17",3,1,2015
20150318,"2015-03-18",3,1,2015
20150319,"2015-03-19",3,1,2015
20150320,"2015-03-20",3,1,2015
20150321,"2015-03-21",3,1,2015
20150323,"2015-03-23",3,1,2015
20150324,"2015-03-24",3,1,2015
20150325,"2015-03-25",3,1,2015
20150326,"2015-03-26",3,1,2015
20150327,"2015-03-27",3,1,2015
20150328,"2015-03-28",3,1,2015
20150330,"2015-03-30",3,1,2015
20150331,"2015-03-31",3,1,2015
20150401,"2015-04-01",4,2,2015
20150402,"2015-04-02",4,2,2015
20150403,"2015-04-03",4,2,2015
20150404,"2015-04-04",4,2,2015
20150406,"2015-04-06",4,2,2015
20150407,"2015-04-07",4,2,2015
20150408,"2015-04-08",4,2,2015
20150409,"2015-04-09",4,2,2015
20150410,"2015-04-10",4,2,2015
20150411,"2015-04-11",4,2,2015
20150413,"2015-04-13",4,2,2015
20150414,"2015-04-14",4,2,2015
20150415,"2015-04-15",4,2,2015
20150416,"2015-04-16",4,2,2015
20150417,"2015-04-17",4,2,2015
20150418,"2015-04-18",4,2,2015
20150420,"2015-04-20",4,2,2015
20150421,"2015-04-21",4,2,2015
20150422,"2015-04-22",4,2,2015
20150423,"2015-04-23",4,2,2015
20150424,"2015-04-24",4,2,2015
20150425,"2015-04-25",4,2,2015
20150427,"2015-04-27",4,2,2015
20150428,"2015-04-28",4,2,2015
20150429,"2015-04-29",4,2,2015
20150430,"2015-04-30",4,2,2015
20150501,"2015-05-01",5,2,2015
20150502,"2015-05-02",5,2,2015
20150504,"2015-05-04",5,2,2015
20150505,"2015-05-05",5,2,2015
